,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:17,165,"1,400",438,4,40,36.9,165,3.69s,9,343,176,33,20,634,0,62%,1,4,0,85.5%,282,35,2,13,6,10,8,2,87%,33/38,Broncos vs Panthers,Broncos,2018
1,42%,21:12,166,"1,467",425,6,35,39.7,100,3s,9,355,203,39,17,373,2,40%,0,6,5,86.5%,341,40,1,13,12,8,8,0,76%,28/37,Broncos vs Panthers,Panthers,2018
