,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,21:39,165,"1,473",436,6,21,39.8,99,4.13s,11,382,206,27,19,440,2,64%,4,4,89.2%,313,26,0,12,7,65%,24/37,Storm vs Warriors,Storm,2015
1,51%,22:32,148,"1,364",467,4,26,39,153,3.56s,7,347,194,21,15,351,1,82%,7,3,89.9%,301,21,1,13,3,66%,23/35,Storm vs Warriors,Warriors,2015
