,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,28:10,188,"1,724",635,3,36,45.4,180,3.5s,9,427,237,3,22,562,3,80%,2,5,88.3%,318,15,1,27,8,8,1,8,82%,31/38,Sea Eagles vs Bulldogs,Sea Eagles,2018
1,46%,23:59,175,"1,545",559,2,15,44.2,123,3.45s,17,405,230,16,16,359,1,71%,6,4,88.5%,362,36,0,11,13,5,0,7,69%,24/35,Sea Eagles vs Bulldogs,Bulldogs,2018
