,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,66%,35:12,199,"1,772",625,2,39,38.5,236,3.95s,14,482,264,30,25,554,5,75%,6,9,89%,290,18,0,18,9,76%,35/46,Knights vs Titans,Knights,2015
1,34%,18:08,143,"1,116",401,1,18,29.4,97,4.01s,12,328,163,19,16,451,0,71%,1,4,87.1%,399,39,1,20,7,55%,21/38,Knights vs Titans,Titans,2015
