,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,25:51,180,"1,693",518,8,36,40.3,195,24,417,223,9,21,628,1,88%,1,5,90.8%,268,18,1,9,5,0,76%,32/42,Knights vs Eels,Knights,2014
1,43%,19:30,155,"1,331",398,3,18,41.6,144,7,346,200,9,13,423,1,88%,0,2,80.2%,295,36,0,37,3,1,59%,19/32,Knights vs Eels,Eels,2014
