,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:16,189,"1,540",497,4,35,35,223,15,459,260,44,23,401,3,75%,5,11,89.1%,270,23,10,7,86%,38/44,Sea Eagles vs Bulldogs,Sea Eagles,2013
1,45%,23:08,137,"1,112",394,3,23,37.1,135,7,303,152,15,18,572,0,70%,4,1,85.1%,321,35,21,10,83%,25/30,Sea Eagles vs Bulldogs,Bulldogs,2013
