,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,27:51,129,"1,357",410,6,14,42.4,171,8,321,175,6,11,267,1,86%,3,1,86.6%,324,26,0,24,5,66%,21/32,Roosters vs Sharks,Roosters,2014
1,40%,18:34,155,"1,500",510,5,26,44.1,108,14,401,228,11,19,411,2,100%,3,5,91.7%,288,14,1,12,7,82%,28/34,Roosters vs Sharks,Sharks,2014
