,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:13,160,"1,381",363,1,15,36.3,186,3.73s,9,349,165,14,24,612,3,80%,6,8,87.3%,308,30,15,7,8,0,8,0,84%,32/38,Panthers vs Bulldogs,Panthers,2016
1,49%,26:08,176,"1,372",343,4,30,38.1,130,3.66s,13,356,188,16,13,309,1,58%,0,3,92%,334,16,13,12,9,1,7,1,67%,24/36,Panthers vs Bulldogs,Bulldogs,2016
