,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,21:24,149,"1,422",470,3,17,41.8,153,3.42s,5,322,159,24,19,788,0,100%,0,4,1,91.4%,352,17,1,16,2,1,85%,29/34,Broncos vs Eels,Broncos,2015
1,56%,27:15,190,"1,776",619,4,17,49.4,259,3.87s,11,426,242,17,23,583,3,80%,1,3,9,92.6%,299,17,0,7,7,1,89%,32/36,Broncos vs Eels,Eels,2015
