,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:18,183,"1,601",569,3,28,40,175,3.82s,17,413,220,34,22,423,83%,7,5,88%,329,26,1,19,11,0,82%,33/40,Panthers vs Sharks,Panthers,2015
1,57%,29:34,182,"1,503",510,3,26,36.7,113,3.55s,9,395,218,32,20,502,80%,2,4,87.7%,350,28,0,21,10,2,76%,31/41,Panthers vs Sharks,Sharks,2015
