,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,27:37,145,"1,331",473,1,22,36,146,3.56s,4,348,192,28,19,465,2,73%,2,5,86.5%,300,30,17,10,1,78%,29/37,Sharks vs Warriors,Sharks,2015
1,42%,20:00,167,"1,429",471,4,30,37.6,118,4.13s,12,375,204,22,19,386,0,75%,8,3,91.2%,309,22,8,11,1,79%,30/38,Sharks vs Warriors,Warriors,2015
