,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,36%,16:03,155,"1,234",448,3,19,32.5,106,3.88s,7,356,196,20,16,499,0,70%,4,3,90.8%,375,27,0,11,8,68%,26/38,Wests Tigers vs Knights,Wests Tigers,2015
1,64%,28:33,177,"1,694",610,4,27,42.4,191,3.77s,6,414,225,22,18,414,3,78%,9,2,91.1%,318,19,1,12,7,75%,30/40,Wests Tigers vs Knights,Knights,2015
