,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:21,148,"1,342",394,3,17,37.3,172,3.39s,6,357,198,33,17,394,2,57%,6,4,90.7%,331,21,0,13,12,10,8,75%,27/36,Eels vs Wests Tigers,Eels,2016
1,55%,27:19,173,"1,610",458,6,21,43.5,214,3.48s,7,405,227,29,15,415,0,89%,3,4,92.2%,309,17,2,9,8,9,8,81%,30/37,Eels vs Wests Tigers,Wests Tigers,2016
