,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,32:58,205,"1,750",412,6,46,42.7,155,3.7s,14,455,256,11,19,511,1,86%,0,6,5,94.1%,303,14,5,11,2,7,80%,33/41,Sharks vs Panthers,Sharks,2019
1,41%,22:55,153,"1,278",321,3,14,36.5,139,3.25s,2,363,193,12,23,758,2,88%,1,3,3,84.5%,372,46,22,9,7,8,80%,28/35,Sharks vs Panthers,Panthers,2019
