,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,26:39,178,"1,589",417,4,37,39.7,192,3.31s,8,381,203,6,16,411,1,58%,3,5,88.1%,342,28,1,18,20,7,1,8,2,58%,23/40,Sea Eagles vs Rabbitohs,Sea Eagles,2019
1,53%,30:04,207,"1,793",436,3,28,39.9,221,3.52s,12,435,224,13,22,579,1,80%,6,6,85.4%,305,37,0,15,12,6,0,9,1,73%,33/45,Sea Eagles vs Rabbitohs,Rabbitohs,2019
