,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:50,167,"1,554",574,2,20,37,217,5,399,206,13,26,861,2,86%,3,3,90.1%,382,16,2,26,3,81%,34/42,Panthers vs Storm,Panthers,2013
1,51%,26:54,173,"1,533",604,0,16,38.3,197,16,412,202,29,25,717,0,93%,6,4,93.6%,382,20,0,6,5,73%,29/40,Panthers vs Storm,Storm,2013
