,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:05,188,"1,563",471,2,28,41.2,157,3.73s,13,403,210,20,21,515,2,70%,1,2,90.1%,329,22,14,15,6,8,2,66%,25/38,Eels vs Panthers,Eels,2017
1,49%,26:59,165,"1,470",398,3,22,36.8,174,3.49s,9,387,218,21,16,417,2,40%,5,5,87.5%,315,28,17,15,5,8,0,65%,26/40,Eels vs Panthers,Panthers,2017
