,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,24:07,147,"1,515",475,6,23,44.6,212,3.32s,15,347,188,16,12,274,62%,2,0,90%,287,18,14,9,7,8,0,74%,25/34,Storm vs Wests Tigers,Storm,2016
1,50%,24:07,156,"1,345",386,4,18,37.4,140,3.55s,16,352,191,9,19,410,50%,3,5,87.2%,292,23,20,10,7,6,1,81%,29/36,Storm vs Wests Tigers,Wests Tigers,2016
