,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,29:15,183,"1,610",606,4,30,40.3,235,3.75s,6,433,235,35,24,597,2,33%,6,4,96.7%,347,7,5,4,75%,30/40,Rabbitohs vs Eels,Rabbitohs,2015
1,46%,24:55,151,"1,385",518,1,7,37.4,144,3.55s,2,391,220,15,21,854,0,75%,1,1,91.6%,424,30,9,5,76%,28/37,Rabbitohs vs Eels,Eels,2015
