,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:02,169,"1,390",417,4,23,35.7,173,14,387,210,4,20,430,2,91%,2,4,84.5%,251,33,1,13,4,1,74%,29/39,Sea Eagles vs Eels,Sea Eagles,2014
1,55%,26:55,157,"1,459",398,7,33,45.6,176,11,368,211,5,15,492,0,91%,5,1,87.7%,278,23,0,16,10,1,75%,24/32,Sea Eagles vs Eels,Eels,2014
