,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,26:39,154,"1,352",439,2,22,36.5,113,3.81s,6,358,195,6,20,482,1,54%,5,4,89.4%,328,19,1,20,11,10,0,8,78%,29/37,Storm vs Raiders,Storm,2019
1,50%,26:39,182,"1,540",470,3,19,39.5,112,3.8s,11,383,211,15,17,448,0,50%,4,1,90.7%,292,22,1,8,10,8,2,8,79%,31/39,Storm vs Raiders,Raiders,2019
