,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,23:58,173,"1,548",390,3,35,41.8,161,3.66s,9,386,210,7,16,389,1,64%,4,3,90.9%,351,24,0,11,18,3,7,1,65%,24/37,Roosters vs Storm,Roosters,2019
1,52%,25:58,176,"1,555",392,3,24,42,208,3.71s,7,413,218,13,26,702,4,83%,4,7,84.4%,347,35,1,29,7,8,8,0,86%,32/37,Roosters vs Storm,Storm,2019
