,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,25:08,157,"1,429",361,5,32,36.6,150,3.97s,8,355,193,9,14,356,1,56%,2,3,89.8%,290,24,0,9,10,9,8,69%,27/39,Wests Tigers vs Warriors,Wests Tigers,2016
1,48%,23:12,137,"1,320",299,5,24,33.9,157,3.11s,5,335,181,19,15,353,0,33%,5,5,87.4%,311,32,2,13,9,8,8,72%,28/39,Wests Tigers vs Warriors,Warriors,2016
