,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,18:37,128,"1,306",387,1,8,39.6,200,3,359,211,8,17,410,2,71%,2,3,80.6%,261,44,1,19,6,1,70%,23/33,Titans vs Rabbitohs,Titans,2014
1,60%,27:55,147,"1,542",413,8,44,41.7,207,12,331,165,9,13,360,0,75%,2,2,96.3%,283,8,0,3,8,1,59%,22/37,Titans vs Rabbitohs,Rabbitohs,2014
