,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:55,162,"1,630",593,4,13,45.3,193,3.38s,5,379,210,3,19,451,1,55%,0,7,3,87.7%,308,31,12,12,5,9,0,78%,28/36,Cowboys vs Wests Tigers,Cowboys,2019
1,51%,25:57,166,"1,614",516,3,31,37.6,229,3.28s,8,386,206,11,19,544,4,67%,1,2,5,92.7%,343,13,14,12,9,8,2,72%,31/43,Cowboys vs Wests Tigers,Wests Tigers,2019
