,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:43,173,"1,366",481,1,28,36.9,202,17,364,185,12,21,477,5,71%,4,9,88.9%,303,25,0,13,9,0,76%,28/37,Bulldogs vs Broncos,Bulldogs,2014
1,50%,25:43,166,"1,494",500,3,25,39.3,158,10,389,199,21,22,584,1,93%,2,7,86.4%,310,28,1,21,8,2,76%,29/38,Bulldogs vs Broncos,Broncos,2014
