,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,21:32,155,"1,436",291,3,26,34.2,148,3,383,206,8,23,617,3,93%,2,4,95.1%,367,17,0,2,3,0,79%,33/42,Sharks vs Rabbitohs,Sharks,2013
1,57%,28:33,149,"1,500",275,2,17,40.6,188,2,362,180,10,22,617,2,100%,3,4,92%,346,26,1,4,11,1,70%,26/37,Sharks vs Rabbitohs,Rabbitohs,2013
