,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:32,173,"1,580",591,2,18,35.1,161,4,447,265,9,22,571,82%,5,4,87.9%,284,32,0,7,8,1,71%,32/45,Eels vs Raiders,Eels,2014
1,49%,24:31,147,"1,349",604,1,32,31.4,84,6,356,182,7,20,563,57%,4,4,93.4%,341,18,1,6,10,0,63%,27/43,Eels vs Raiders,Raiders,2014
