,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,28:02,181,"1,602",365,0,39,42.2,244,3.33s,5,394,204,20,23,529,3,89%,2,9,86.4%,336,25,1,28,9,3,8,0,82%,31/38,Storm vs Warriors,Storm,2019
1,50%,28:02,165,"1,423",326,2,25,40.7,149,3.45s,11,367,188,16,22,609,2,100%,4,7,89.4%,380,39,0,6,8,6,8,1,80%,28/35,Storm vs Warriors,Warriors,2019
