,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,24:19,133,"1,204",342,1,10,34.4,131,3.72s,1,327,176,21,23,586,67%,1,0,9,88.2%,359,32,1,16,9,7,1,6,4,71%,25/35,Wests Tigers vs Bulldogs,Wests Tigers,2016
1,50%,24:19,204,"1,926",517,9,32,45.9,277,3.07s,13,422,225,27,17,515,80%,0,3,1,95.1%,294,10,0,5,10,5,0,8,0,74%,31/42,Wests Tigers vs Bulldogs,Bulldogs,2016
