,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:54,183,"1,691",558,4,62,43.4,151,3.2s,12,405,219,16,21,491,2,75%,2,6,86.8%,295,26,1,19,9,8,0,8,2,85%,33/39,Dragons vs Sea Eagles,Dragons,2018
1,48%,24:49,166,"1,529",466,3,26,45,164,3.44s,11,362,206,37,11,295,1,50%,1,4,80.7%,321,63,0,14,15,8,1,8,0,65%,22/34,Dragons vs Sea Eagles,Sea Eagles,2018
