,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,35%,17:11,129,"1,203",409,2,13,34.4,84,8,303,152,9,15,395,0,92%,3,4,84.8%,334,39,1,21,7,69%,24/35,Titans vs Warriors,Titans,2014
1,65%,31:56,171,"1,679",511,7,39,40,237,17,414,229,12,17,402,3,85%,2,5,91.5%,258,13,0,11,8,71%,30/42,Titans vs Warriors,Warriors,2014
