,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,28:48,195,"1,684",545,3,40,40.1,129,3.54s,10,413,228,60,16,419,83%,4,3,86.3%,316,30,0,20,11,9,8,0,76%,32/42,Panthers vs Rabbitohs,Panthers,2018
1,47%,25:32,186,"1,660",465,2,30,43.7,179,3.82s,14,381,207,46,17,612,56%,4,3,86%,356,40,1,18,8,13,8,2,79%,30/38,Panthers vs Rabbitohs,Rabbitohs,2018
