,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,23%,09:23,156,"1,303",406,5,30,36.2,83,3.35s,11,359,210,23,11,330,0,62%,2,3,88.2%,307,26,0,15,8,0,67%,24/36,Eels vs Titans,Eels,2015
1,77%,31:27,177,"1,558",494,5,26,39,139,3.15s,11,375,197,21,16,408,1,100%,5,3,84.1%,260,30,3,19,8,1,70%,28/40,Eels vs Titans,Titans,2015
