,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,27:03,156,"1,454",465,5,34,38.3,188,19,390,219,6,16,378,2,89%,0,4,3,91.3%,303,17,12,5,0,71%,27/38,Raiders vs Panthers,Raiders,2014
1,43%,20:25,134,"1,191",462,7,17,33.1,70,6,325,168,10,16,483,0,83%,1,1,0,82%,291,34,30,7,1,86%,31/36,Raiders vs Panthers,Panthers,2014
