,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,22:54,169,"1,663",595,7,29,40.6,131,3.61s,7,373,206,31,16,257,1,71%,1,2,7,89.6%,277,19,13,8,2,68%,28/41,Titans vs Raiders,Titans,2015
1,46%,19:30,142,"1,404",543,3,19,39,72,3.67s,7,322,169,15,16,286,0,70%,0,2,7,88.5%,315,29,12,8,1,69%,25/36,Titans vs Raiders,Raiders,2015
