,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,21:02,129,"1,150",439,4,23,34.9,130,3.86s,10,320,179,8,15,429,2,73%,6,4,84.3%,312,43,15,12,1,1,64%,21/33,Wests Tigers vs Roosters,Wests Tigers,2015
1,53%,23:43,171,"1,694",572,7,43,41.3,137,3.8s,11,402,227,26,15,280,0,82%,7,4,85.6%,255,23,20,5,0,0,76%,31/41,Wests Tigers vs Roosters,Roosters,2015
