,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,29:20,197,"1,802",668,8,33,41.9,213,3.62s,12,426,238,23,19,460,4,70%,1,3,6,80.2%,255,42,1,21,8,4,7,86%,37/43,Sea Eagles vs Wests Tigers,Sea Eagles,2017
1,44%,23:02,155,"1,377",447,2,42,43,121,3.52s,12,334,169,19,17,352,1,82%,0,1,9,86.7%,353,33,0,21,13,8,7,72%,23/32,Sea Eagles vs Wests Tigers,Wests Tigers,2017
