,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,32:05,200,"1,763",437,7,40,46.4,202,3.52s,11,447,245,32,21,304,3,85%,5,7,91.2%,323,28,3,10,6,8,0,79%,30/38,Sea Eagles vs Rabbitohs,Sea Eagles,2016
1,42%,23:13,148,"1,237",349,5,28,33.5,129,3.8s,2,355,187,11,23,640,3,69%,6,4,87.7%,385,40,14,6,8,6,5,84%,31/37,Sea Eagles vs Rabbitohs,Rabbitohs,2016
