,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,22:00,128,980,293,1,19,31.6,104,3.86s,4,294,156,6,16,449,0,90%,1,6,3,88.4%,352,37,9,10,5,0,0,6,68%,21/31,Sea Eagles vs Storm,Sea Eagles,2019
1,58%,30:23,198,"1,772",487,7,37,41.2,303,3.98s,7,446,238,20,26,673,6,75%,0,3,10,91.2%,260,19,6,6,5,1,1,8,84%,36/43,Sea Eagles vs Storm,Storm,2019
