,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:44,168,"1,496",529,4,34,38.4,162,3.2s,13,381,206,19,19,480,1,67%,6,1,88%,330,41,4,6,13,1,6,79%,31/39,Panthers vs Cowboys,Panthers,2018
1,50%,25:44,161,"1,494",490,7,41,38.3,156,3.43s,3,382,207,29,19,607,0,92%,6,0,86.7%,339,35,17,7,11,1,8,85%,33/39,Panthers vs Cowboys,Cowboys,2018
