,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,24:44,172,"1,340",435,2,12,34.4,139,3.29s,9,369,208,11,18,340,2,73%,2,9,84.3%,284,33,20,9,6,8,74%,29/39,Cowboys vs Sharks,Cowboys,2019
1,49%,23:45,158,"1,453",449,6,33,39.3,137,3.4s,9,358,194,9,16,384,3,78%,2,7,91.6%,285,12,14,16,9,8,65%,24/37,Cowboys vs Sharks,Sharks,2019
