,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:40,218,"1,876",517,13,39,45.8,157,3.47s,14,406,223,15,20,427,4,56%,2,4,88.5%,284,15,22,8,7,8,0,83%,34/41,Dragons vs Titans,Dragons,2017
1,45%,23:28,149,"1,379",396,5,15,41.8,187,3.4s,12,351,196,20,11,213,0,80%,2,3,85.1%,330,39,19,11,10,7,2,76%,25/33,Dragons vs Titans,Titans,2017
