,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,28:51,192,"1,648",425,3,16,45.8,136,3.36s,7,421,229,19,24,636,1,67%,1,3,4,84.1%,286,42,1,12,8,3,7,83%,30/36,Cowboys vs Rabbitohs,Cowboys,2019
1,46%,24:35,163,"1,531",398,4,42,46.4,163,3.17s,8,331,169,19,17,429,0,86%,0,3,7,93.7%,374,16,0,9,11,6,8,76%,25/33,Cowboys vs Rabbitohs,Rabbitohs,2019
