,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,20:18,161,"1,368",451,2,26,39.1,81,3.9s,7,372,203,27,23,596,0,50%,0,6,5,89.5%,342,21,19,6,89%,31/35,Storm vs Eels,Storm,2015
1,58%,28:02,166,"1,561",558,3,21,40,224,3.81s,12,370,200,22,15,346,2,57%,1,3,2,91%,345,26,8,8,64%,25/39,Storm vs Eels,Eels,2015
