,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,28:01,183,"1,675",550,3,25,45.3,195,3.26s,7,414,228,10,24,497,2,88%,8,9,87.9%,334,30,16,10,3,0,7,89%,33/37,Titans vs Warriors,Titans,2019
1,46%,23:51,178,"1,697",587,6,30,48.5,176,3.66s,12,373,193,11,19,607,1,72%,4,5,91.3%,365,25,10,7,7,1,8,80%,28/35,Titans vs Warriors,Warriors,2019
