,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:19,206,"1,819",572,5,40,46.6,166,3s,8,440,246,22,18,517,1,88%,6,3,87.3%,352,32,0,19,12,6,1,8,2,74%,29/39,Dragons vs Warriors,Dragons,2018
1,46%,25:49,190,"1,708",572,5,32,46.2,158,3.32s,13,392,206,14,21,619,1,73%,4,3,88%,395,40,1,14,6,10,0,8,0,84%,31/37,Dragons vs Warriors,Warriors,2018
