,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:41,208,"1,849",635,5,18,45.1,209,3.52s,7,404,220,37,19,466,1,57%,8,5,88.2%,329,30,14,11,4,8,0,80%,33/41,Rabbitohs vs Wests Tigers,Rabbitohs,2019
1,51%,28:48,200,"1,719",561,2,30,44.1,201,3.17s,9,408,224,42,19,578,3,92%,4,5,91.6%,383,18,17,11,10,8,1,72%,28/39,Rabbitohs vs Wests Tigers,Wests Tigers,2019
