,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,27:38,168,"1,514",549,5,33,37.9,165,7,426,237,5,20,627,1,82%,6,3,89%,322,20,0,20,6,72%,29/40,Roosters vs Raiders,Roosters,2014
1,48%,25:30,146,"1,321",543,2,20,35.7,121,11,363,199,9,20,597,0,73%,4,2,89.5%,367,33,1,10,6,73%,27/37,Roosters vs Raiders,Raiders,2014
