,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,24:19,165,"1,590",536,5,30,45.4,192,3.66s,5,339,175,27,17,416,2,62%,0,7,81.9%,307,40,28,9,7,6,0,77%,27/35,Raiders vs Warriors,Raiders,2019
1,54%,28:33,187,"1,711",559,4,40,50.3,123,3.44s,20,379,207,22,14,354,0,50%,2,4,89.1%,345,30,12,7,8,8,1,82%,28/34,Raiders vs Warriors,Warriors,2019
