,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,31:39,196,"1,735",513,7,38,39.4,184,3.38s,15,456,249,48,24,649,4,100%,3,7,90.9%,289,23,6,6,8,8,2,86%,38/44,Dragons vs Knights,Dragons,2018
1,41%,21:59,144,"1,230",361,2,23,34.2,144,3.43s,6,341,187,28,15,508,0,100%,2,2,85.8%,368,38,23,13,7,8,2,67%,24/36,Dragons vs Knights,Knights,2018
