,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,25:12,161,"1,718",474,7,40,45.2,254,3.08s,6,353,194,22,16,451,0,91%,5,3,93.1%,311,20,3,8,6,8,0,82%,31/38,Rabbitohs vs Warriors,Rabbitohs,2017
1,48%,23:15,154,"1,421",399,4,20,40.6,185,3.75s,2,348,195,20,18,480,2,80%,4,6,86.3%,302,40,8,8,9,6,2,83%,29/35,Rabbitohs vs Warriors,Warriors,2017
