,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:21,184,"1,817",594,6,48,46.6,239,3.48s,11,402,217,12,24,631,3,86%,1,5,85.3%,320,44,1,11,10,2,0,7,2,77%,30/39,Dragons vs Rabbitohs,Dragons,2017
1,46%,25:52,175,"1,809",578,7,44,58.4,227,3.13s,7,389,213,13,21,522,0,70%,5,3,84.1%,350,48,0,18,8,6,1,8,0,81%,25/31,Dragons vs Rabbitohs,Rabbitohs,2017
