,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:15,166,"1,588",492,4,34,42.9,200,3.61s,15,376,204,32,15,431,2,83%,3,3,82.5%,283,40,1,20,8,76%,28/37,Titans vs Dragons,Titans,2015
1,51%,25:14,157,"1,546",488,4,40,40.7,159,3.78s,13,363,190,29,17,315,2,67%,4,5,84.8%,319,34,0,23,5,71%,27/38,Titans vs Dragons,Dragons,2015
