,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:51,149,"1,232",429,1,26,30.8,95,9,354,186,7,16,456,2,79%,0,3,3,86.4%,287,28,17,6,1,1,78%,31/40,Bulldogs vs Roosters,Bulldogs,2014
1,49%,24:51,149,"1,374",437,5,28,41.6,207,11,378,210,2,20,459,0,91%,1,5,4,88.6%,328,26,16,12,0,0,73%,24/33,Bulldogs vs Roosters,Roosters,2014
