,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,28:01,170,"1,564",483,3,25,42.3,212,3.78s,9,405,210,25,23,607,2,73%,9,3,83.4%,311,41,0,21,7,7,8,84%,31/37,Panthers vs Rabbitohs,Panthers,2017
1,50%,28:01,182,"1,556",469,4,41,41,173,3.62s,14,396,210,37,22,656,2,47%,3,2,90.9%,369,25,1,12,9,4,8,82%,31/38,Panthers vs Rabbitohs,Rabbitohs,2017
