,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,28:15,127,"1,144",363,4,15,35.8,156,9,306,156,6,16,549,0,94%,2,2,91.3%,359,24,10,9,1,69%,22/32,Roosters vs Rabbitohs,Roosters,2013
1,40%,18:50,171,"1,537",589,4,24,37.5,201,11,393,209,12,23,607,3,89%,3,5,92.1%,269,15,8,4,1,83%,34/41,Roosters vs Rabbitohs,Rabbitohs,2013
