,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,29:47,167,"1,359",449,3,21,37.8,161,11,403,213,5,20,589,0,84%,2,1,85.4%,327,34,1,22,5,72%,26/36,Bulldogs vs Knights,Bulldogs,2014
1,47%,26:24,180,"1,550",492,3,34,41.9,178,15,445,242,15,25,637,3,70%,3,6,90.3%,324,21,0,14,4,84%,31/37,Bulldogs vs Knights,Knights,2014
