,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:53,154,"1,407",527,2,25,41.4,180,7,371,190,13,20,652,2,92%,3,3,84.7%,288,30,1,22,5,71%,24/34,Wests Tigers vs Raiders,Wests Tigers,2014
1,48%,24:48,146,"1,352",485,4,30,35.6,162,14,370,198,14,21,462,1,100%,2,11,89.9%,339,25,0,13,3,76%,29/38,Wests Tigers vs Raiders,Raiders,2014
