,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,68%,32:26,184,"1,721",619,8,23,45.3,193,23,435,237,21,21,323,1,100%,2,6,85.9%,213,19,16,4,1,84%,32/38,Wests Tigers vs Bulldogs,Wests Tigers,2014
1,32%,15:15,112,"1,046",340,3,19,38.8,154,11,267,145,8,13,447,0,64%,0,2,85.1%,314,23,32,8,2,74%,20/27,Wests Tigers vs Bulldogs,Bulldogs,2014
