,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,27:19,190,"1,575",542,0,18,43.8,185,3.52s,11,400,214,3,18,655,0,91%,1,4,3,88.3%,371,26,23,12,6,8,1,72%,26/36,Rabbitohs vs Bulldogs,Rabbitohs,2019
1,52%,29:35,205,"1,801",513,2,26,47.4,169,3.49s,15,425,220,3,24,669,3,100%,0,7,3,91.7%,330,18,12,10,7,6,1,82%,31/38,Rabbitohs vs Bulldogs,Bulldogs,2019
