,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
57,25:34,Interchange #1,,Bulldogs,                   Chris Smith,                   Adam Elliott,,Rabbitohs vs Bulldogs,2019
58,24:54,Kick Bomb,Cody Walker,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
59,24:10,Interchange #1,,Rabbitohs,                   Liam Knight,                   Thomas Burgess,,Rabbitohs vs Bulldogs,2019
60,23:29,Error,Kerrod Holland,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
61,22:31,Error,Jaydn Su'A,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
62,21:21,40/20 Kick,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
63,19:49,Error,Nick Meaney,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
64,19:05,Line Dropout,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
65,17:06,Penalty - 2nd Effort,Braidon Burns,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
66,15:35,Penalty Shot-Made,Adam Reynolds,Rabbitohs,,,2-2,Rabbitohs vs Bulldogs,2019
67,14:29,Penalty - Slow Peel,Dylan Napa,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
68,14:01,Error,Lachlan Lewis,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
69,12:16,Penalty - Holding Down,Kerrod Holland,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
70,11:07,Kick Bomb,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
71,10:18,Kick Bomb,Lachlan Lewis,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
72,08:54,Penalty Shot-Made,Nick Meaney,Bulldogs,,,0-2,Rabbitohs vs Bulldogs,2019
73,07:31,Penalty - Slow Peel,Cameron Murray,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
74,06:19,Kick Bomb,Lachlan Lewis,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
75,05:11,Error,Thomas Burgess,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
76,04:10,Penalty - Slow Peel,Dylan Napa,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
77,03:54,Error,Adam Elliott,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
78,02:27,Kick Bomb,Cody Walker,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
79,00:00,KICK OFF,,,,,,Rabbitohs vs Bulldogs,2019
