,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:58,170,"1,484",530,4,29,42.4,122,3.92s,9,404,224,35,22,520,100%,3,3,85.9%,310,26,25,10,69%,24/35,Sea Eagles vs Sharks,Sea Eagles,2015
1,56%,29:13,181,"1,502",468,6,26,39.5,201,3.87s,15,398,228,22,12,341,75%,2,2,87.5%,302,29,14,5,68%,26/38,Sea Eagles vs Sharks,Sharks,2015
