,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,25:41,147,"1,416",502,3,34,39.4,127,12,357,193,4,14,334,1,78%,3,1,84.1%,307,41,0,17,6,2,64%,23/36,Wests Tigers vs Panthers,Wests Tigers,2014
1,46%,21:53,164,"1,554",539,4,41,36.1,88,12,377,196,6,16,501,0,100%,2,2,85.8%,309,34,2,17,6,0,77%,33/43,Wests Tigers vs Panthers,Panthers,2014
